canonical_employee_key,occurred_at,text
demo-001,2026-07-03T09:12:00+09:00,배포 체크리스트를 갱신했습니다. API 검증 결과도 문서에 반영하겠습니다.
demo-001,2026-07-07T14:20:00+09:00,리뷰 가능한 분은 오후 세 시 전에 확인 부탁드립니다.
demo-001,2026-07-11T10:05:00+09:00,재현 로그를 정리했어요. 추가로 확인할 항목이 있을까요?
demo-001,2026-07-16T16:42:00+09:00,테스트 실패 원인을 찾았습니다! 수정 후 다시 공유드리겠습니다.
demo-001,2026-07-22T11:08:00+09:00,의존성 버전을 고정하고 배포 순서를 점검하겠습니다.
demo-001,2026-07-29T17:18:00+09:00,회의 전에 변경 범위를 문서로 정리해 둘게요.
demo-002,2026-07-02T08:55:00+09:00,마감은 오늘입니다. 담당 범위를 지금 확정해 주세요.
demo-002,2026-07-08T13:34:00+09:00,요구사항 변경 건은 승인 후 반영합니다.
demo-002,2026-07-13T09:25:00+09:00,중복 작업을 막으려면 담당자를 먼저 지정해야 합니다.
demo-002,2026-07-18T15:48:00+09:00,배포 시각은 오후 여섯 시로 유지합니다!
demo-002,2026-07-24T10:31:00+09:00,이슈별 완료 시각을 댓글로 남겨 주세요.
demo-002,2026-07-30T18:04:00+09:00,결정되지 않은 항목은 다음 스프린트로 이동합니다.
demo-003,2026-07-04T10:18:00+09:00,기획안의 우선순위를 다시 확인해도 될까요?
demo-003,2026-07-09T12:47:00+09:00,회의 메모를 읽고 질문을 세 가지로 정리했습니다.
demo-003,2026-07-14T16:22:00+09:00,디자인 변경 범위가 어디까지인지 알려 주세요.
demo-003,2026-07-19T09:41:00+09:00,초안과 수정안의 차이를 표로 비교해 두었습니다.
demo-003,2026-07-25T14:06:00+09:00,다음 회의에서 결정할 항목을 먼저 나눠 볼까요?
demo-003,2026-07-31T17:27:00+09:00,정리된 내용이 맞는지 마지막으로 확인 부탁드립니다!
