text,split,group_id,satisfied,neutral,frustrated,angry,dissatisfied,overloaded,conflict,disengaged
이번 배포는 일정대로 끝나서 좋네요.,train,satisfied-00,1,0,0,0,0,0,0,0
현재 상황은 이번 배포는 일정대로 끝나서 좋네요. 확인 부탁드립니다.,train,satisfied-00,1,0,0,0,0,0,0,0
오늘 업무를 하면서 이번 배포는 일정대로 끝나서 좋네요. 이 부분은 조정이 필요해 보입니다.,train,satisfied-00,1,0,0,0,0,0,0,0
리뷰 피드백 덕분에 작업이 훨씬 수월했습니다.,train,satisfied-01,1,0,0,0,0,0,0,0
현재 상황은 리뷰 피드백 덕분에 작업이 훨씬 수월했습니다. 확인 부탁드립니다.,train,satisfied-01,1,0,0,0,0,0,0,0
오늘 업무를 하면서 리뷰 피드백 덕분에 작업이 훨씬 수월했습니다. 이 부분은 조정이 필요해 보입니다.,train,satisfied-01,1,0,0,0,0,0,0,0
이번 협업 방식은 효율적이라 만족스럽습니다.,train,satisfied-02,1,0,0,0,0,0,0,0
현재 상황은 이번 협업 방식은 효율적이라 만족스럽습니다. 확인 부탁드립니다.,train,satisfied-02,1,0,0,0,0,0,0,0
오늘 업무를 하면서 이번 협업 방식은 효율적이라 만족스럽습니다. 이 부분은 조정이 필요해 보입니다.,train,satisfied-02,1,0,0,0,0,0,0,0
지원 요청을 빨리 처리해 주셔서 감사합니다.,train,satisfied-03,1,0,0,0,0,0,0,0
현재 상황은 지원 요청을 빨리 처리해 주셔서 감사합니다. 확인 부탁드립니다.,train,satisfied-03,1,0,0,0,0,0,0,0
오늘 업무를 하면서 지원 요청을 빨리 처리해 주셔서 감사합니다. 이 부분은 조정이 필요해 보입니다.,train,satisfied-03,1,0,0,0,0,0,0,0
요구사항이 명확해서 개발하기 편했습니다.,train,satisfied-04,1,0,0,0,0,0,0,0
현재 상황은 요구사항이 명확해서 개발하기 편했습니다. 확인 부탁드립니다.,train,satisfied-04,1,0,0,0,0,0,0,0
오늘 업무를 하면서 요구사항이 명확해서 개발하기 편했습니다. 이 부분은 조정이 필요해 보입니다.,train,satisfied-04,1,0,0,0,0,0,0,0
이번 스프린트는 역할 분담이 잘 된 것 같습니다.,train,satisfied-05,1,0,0,0,0,0,0,0
현재 상황은 이번 스프린트는 역할 분담이 잘 된 것 같습니다. 확인 부탁드립니다.,train,satisfied-05,1,0,0,0,0,0,0,0
오늘 업무를 하면서 이번 스프린트는 역할 분담이 잘 된 것 같습니다. 이 부분은 조정이 필요해 보입니다.,train,satisfied-05,1,0,0,0,0,0,0,0
새 프로세스가 이전보다 훨씬 편하네요.,train,satisfied-06,1,0,0,0,0,0,0,0
현재 상황은 새 프로세스가 이전보다 훨씬 편하네요. 확인 부탁드립니다.,train,satisfied-06,1,0,0,0,0,0,0,0
오늘 업무를 하면서 새 프로세스가 이전보다 훨씬 편하네요. 이 부분은 조정이 필요해 보입니다.,train,satisfied-06,1,0,0,0,0,0,0,0
회의가 짧고 결정이 명확해서 좋았습니다.,val,satisfied-07,1,0,0,0,0,0,0,0
현재 상황은 회의가 짧고 결정이 명확해서 좋았습니다. 확인 부탁드립니다.,val,satisfied-07,1,0,0,0,0,0,0,0
오늘 업무를 하면서 회의가 짧고 결정이 명확해서 좋았습니다. 이 부분은 조정이 필요해 보입니다.,val,satisfied-07,1,0,0,0,0,0,0,0
이번 업무는 배울 점도 많고 재미있었습니다.,test,satisfied-08,1,0,0,0,0,0,0,0
현재 상황은 이번 업무는 배울 점도 많고 재미있었습니다. 확인 부탁드립니다.,test,satisfied-08,1,0,0,0,0,0,0,0
오늘 업무를 하면서 이번 업무는 배울 점도 많고 재미있었습니다. 이 부분은 조정이 필요해 보입니다.,test,satisfied-08,1,0,0,0,0,0,0,0
도움 주신 덕분에 문제를 빠르게 해결했습니다.,test,satisfied-09,1,0,0,0,0,0,0,0
현재 상황은 도움 주신 덕분에 문제를 빠르게 해결했습니다. 확인 부탁드립니다.,test,satisfied-09,1,0,0,0,0,0,0,0
오늘 업무를 하면서 도움 주신 덕분에 문제를 빠르게 해결했습니다. 이 부분은 조정이 필요해 보입니다.,test,satisfied-09,1,0,0,0,0,0,0,0
오늘 오후 세 시에 프로젝트 회의가 있습니다.,train,neutral-00,0,1,0,0,0,0,0,0
현재 상황은 오늘 오후 세 시에 프로젝트 회의가 있습니다. 확인 부탁드립니다.,train,neutral-00,0,1,0,0,0,0,0,0
오늘 업무를 하면서 오늘 오후 세 시에 프로젝트 회의가 있습니다. 이 부분은 조정이 필요해 보입니다.,train,neutral-00,0,1,0,0,0,0,0,0
수정한 문서는 공유 폴더에 올려두었습니다.,train,neutral-01,0,1,0,0,0,0,0,0
현재 상황은 수정한 문서는 공유 폴더에 올려두었습니다. 확인 부탁드립니다.,train,neutral-01,0,1,0,0,0,0,0,0
오늘 업무를 하면서 수정한 문서는 공유 폴더에 올려두었습니다. 이 부분은 조정이 필요해 보입니다.,train,neutral-01,0,1,0,0,0,0,0,0
테스트 결과는 내일 오전에 전달하겠습니다.,train,neutral-02,0,1,0,0,0,0,0,0
